observation_date,Sales_Per_ Day
2009-11-01,11798.64452
2009-12-01,13654.8663
2010-01-01,10468.60996
2010-02-01,11442.93442
2010-03-01,12001.78696
2010-04-01,12212.15357
2010-05-01,12102.66446
2010-06-01,12301.06227
2010-07-01,11966.32509
2010-08-01,12002.10677
2010-09-01,11830.39992
2010-10-01,11710.36552
2010-11-01,12607.07612
2010-12-01,14349.08737
2011-01-01,11023.36353
2011-02-01,12197.17349
2011-03-01,12552.21408
2011-04-01,12662.11396
2011-05-01,12554.78347
2011-06-01,12899.39538
2011-07-01,12283.72286
2011-08-01,12639.02726
2011-09-01,12352.55798
2011-10-01,12101.7651
2011-11-01,13052.26143
2011-12-01,14729.88109
2012-01-01,11316.68282
2012-02-01,12652.15946
2012-03-01,13059.02546
2012-04-01,12748.76432
2012-05-01,13198.65934
2012-06-01,13034.66309
2012-07-01,12472.87457
2012-08-01,13161.30123
2012-09-01,12435.91299
2012-10-01,12504.76841
2012-11-01,13449.05512
2012-12-01,14757.41927
2013-01-01,11783.35305
2013-02-01,12889.44224
2013-03-01,13066.69684
2013-04-01,13112.60776
2013-05-01,13599.39265
2013-06-01,13284.10414
2013-07-01,13116.98796
2013-08-01,13490.03724
2013-09-01,12648.17578
2013-10-01,12866.95222
2013-11-01,13641.74257
2013-12-01,15010.9999
2014-01-01,11830.25537
2014-02-01,12931.34148
2014-03-01,13190.89388
2014-04-01,13599.54934
2014-05-01,13949.25942
2014-06-01,13584.12324
2014-07-01,13463.36276
2014-08-01,13713.24095
2014-09-01,13208.19412
2014-10-01,13291.5254
2014-11-01,13919.65761
2014-12-01,15620.7139
2015-01-01,12175.24675
2015-02-01,13091.2661
2015-03-01,13523.03748
2015-04-01,13749.29671
2015-05-01,13991.27256
2015-06-01,13998.81971
2015-07-01,13842.03589
2015-08-01,13805.45271
2015-09-01,13485.82572
2015-10-01,13418.42815
2015-11-01,14032.25845
2015-12-01,15995.31937
2016-01-01,12079.81763
2016-02-01,13331.44779
2016-03-01,13844.18092
2016-04-01,13878.80959
2016-05-01,13996.58655
2016-06-01,14308.48031
2016-07-01,13732.26601
2016-08-01,14079.0945
2016-09-01,13738.09239
2016-10-01,13381.95219
2016-11-01,14447.46832
2016-12-01,16298.08223
2017-01-01,12382.12325
2017-02-01,13548.07444
2017-03-01,14165.60135
2017-04-01,14075.15476
2017-05-01,14535.76645
2017-06-01,14611.83163
2017-07-01,13945.10959
2017-08-01,14401.72119
2017-09-01,14140.07631
2017-10-01,13874.81732
2017-11-01,15175.79398
2017-12-01,16551.04228
2018-01-01,12842.67272
2018-02-01,13884.57941
2018-03-01,14648.92002
2018-04-01,14247.40922
2018-05-01,15122.72909
2018-06-01,14948.77509
2018-07-01,14365.45161
